"key","values","default","description","source"
"inner_optimizer","`auto`, `bfgs`, `lbfgs`, `nelder_mead`","`auto`","Inner-loop (per-subject EBE) optimisation algorithm. `auto` uses dense BFGS, switching to limited-memory L-BFGS above 32 random effects.","ferx-core fit-options"
"steihaug_max_iters","integer","adaptive","Max CG iterations for the Steihaug subproblem (only used when `optimizer = trust_region`).","ferx-core fit-options"
"global_search","`true`, `false`","`false`","Run NLopt CRS2-LM (Controlled Random Search with Local Mutation) as a gradient-free global pre-search before the local optimizer.","ferx-core fit-options"
"global_maxeval","integer","`0` (auto: `30 * (n_params + 1)`)","Maximum evaluations of the FOCE objective during the global pre-search.","ferx-core fit-options"
"n_exploration","","`150`","Phase 1 iterations (step size = 1)","ferx-core fit-options"
"n_convergence","","`250`","Phase 2 iterations (step size = 1/k)","ferx-core fit-options"
"n_mh_steps","","`20`","Block Metropolis-Hastings steps per subject per iteration. Also sizes the componentwise decorrelating kernel that prevents block-Ω collapse (`max(2, n_mh_steps / n_eta)` sweeps; multi-η models only — skipped when `n_eta < 2`).","ferx-core fit-options"
"n_leapfrog","","`0`","Leapfrog steps per HMC proposal (0 = use MH; see below). When > 0, subjects for which HMC is unavailable (ODE model, missing analytical PK path, non-finite Ω, unsupported TV-cov path) fall back to MH using `n_mh_steps` proposals.","ferx-core fit-options"
"adapt_interval","","`50`","Iterations between step-size adaptation","ferx-core fit-options"
"mstep_damping","","`0.03`","Exploration-phase cap on the stochastic-approximation step for the numerical θ/σ M-step, the θ-side counterpart of the per-iteration SA step cap SAEM already applies to Ω.","ferx-core fit-options"
"omega_burnin","","`20`","Initial exploration iterations during which Ω (and Ω<sub>IOV</sub>) are held at their starting values while the MH chain warms up.","ferx-core fit-options"
"conddist","","`false`","Run a post-fit conditional-distribution pass estimating each subject's `p(η_i \| y_i)` by MCMC.","ferx-core fit-options"
"conddist_nsamp","","`200`","Retained MCMC draws per subject in the conditional-distribution pass.","ferx-core fit-options"
"conddist_burnin","","`20`","Burn-in draws discarded before accumulation, to forget the EBE-mode warm start.","ferx-core fit-options"
"conddist_keep_samples","","`false`","Retain the raw per-subject draws (written to `{model}-conddist-samples.csv`), not just the mean/SD.","ferx-core fit-options"
"seed","","`12345`","RNG seed for reproducibility","ferx-core fit-options"
"bayes_warmup","","","Warmup (burn-in + adaptation) sweeps per chain, discarded from the posterior (default 1000).","?ferx_fit"
"bayes_iters","","","Retained sampling sweeps per chain, before thinning (default 1000).","?ferx_fit"
"bayes_chains","","","Number of independent chains (default 4); used for split-R-hat.","?ferx_fit"
"bayes_thin","","","Keep every bayes_thin-th sampling draw (default 1).","?ferx_fit"
"bayes_seed","","","Base RNG seed for the Bayes sampler. Independent of seed / saem_seed.","?ferx_fit"
"vi_iters","","`25000`","Adam **ceiling**, not a fixed budget — the run stops early once the objective and the estimates have both settled.","ferx-core fit-options"
"vi_mc_samples","","`32`","Monte-Carlo draws per subject per iteration. This sets the noise floor the settling test measures against, so it decides when the run stops as well as how noisy each step is; too few draws can settle early at the wrong answer.","ferx-core fit-options"
"vi_lr","","`0.02`","Adam learning rate. Lower it if the trace oscillates, or if σ settles above a FOCEI/AGQ fit of the same data.","ferx-core fit-options"
"vi_grad_clip","","`1e4`","Global-L2 gradient clip applied to every Adam step; `0` disables it.","ferx-core fit-options"
"vi_family","","`full_rank`","`full_rank` fits a full posterior covariance per subject; `mean_field` fits a diagonal one — `O(d)` rather than `O(d²)`.","ferx-core fit-options"
"vi_sigma_update","","`closed_form`","As `vi_omega_update`, for the residual error σ. See How σ is updated.","ferx-core fit-options"
"vi_omega_update","","`closed_form`","`closed_form` sets Ω to its exact ELBO maximizer each iteration, keeping it out of the stochastic optimization; `adam` learns it with everything else.","ferx-core fit-options"
"vi_avg_last","","final 25%","Polyak averaging window, in iterations — the reported estimate is the mean over the final window rather than the last iterate.","ferx-core fit-options"
"vi_eta_grad","","`auto`","`auto` uses the analytic `Dual2` η-gradient where available and central finite differences where not; `analytic` and `fd` pin one route.","ferx-core fit-options"
"vi_kl","","`analytic`","How the `KL(q ‖ N(0, Ω))` half is evaluated — `analytic` in closed form (only the data term is sampled) or `mc`.","ferx-core fit-options"
"vi_final_ofv","","`none`","`none` leaves `ofv` as `NaN`, because the ELBO is a lower bound and is not comparable with a FOCEI OFV; `laplace` computes a comparable one.","ferx-core fit-options"
"vi_seed","","`20240704`","Seed for the common random numbers. See Reproducibility.","ferx-core fit-options"
"gn_lambda","","","Levenberg-Marquardt damping factor (default 0.01). Larger values make steps more conservative.","?ferx_fit"
"nn_l2","float ≥ 0","`0.0`","L2 (weight-decay) strength. Adds `nn_l2 · Σ wᵢ²` over the network's **weight** matrices only (bias terms are left free).","ferx-core fit-options"
"nn_smooth","float ≥ 0","`0.0`","Smoothness (curvature) strength. Penalizes the finite-difference 2nd derivative `C = f(x+h) − 2·f(x) + f(x−h)` of each output along every input's marginal partial-dependence curve, i.e. `nn_smooth · Σ C²`.","ferx-core fit-options"
"sir_samples","","`1000`","Number of proposal samples (M)","ferx-core fit-options"
"sir_resamples","","`250`","Number of resampled vectors (m)","ferx-core fit-options"
"sir_seed","","`12345`","RNG seed for reproducibility","ferx-core fit-options"
"sir_keep_samples","","`false`","Retain resampled parameter vectors for `simulate_with_uncertainty()`","ferx-core fit-options"
"sir_df","","`5.0`","Degrees of freedom for the Student-t proposal; higher values approach a normal proposal","ferx-core fit-options"
"n_agq","","`1`","Gauss-Hermite nodes **per random effect**. `1` reproduces the Laplace approximation exactly; odd values are conventional (they keep a node at the mode).","ferx-core fit-options"
"imp_samples","","`1000`","Importance samples K per subject. 2000–5000 recommended for publication-quality MC SE.","ferx-core fit-options"
"imp_proposal_df","","`5.0`","Student-t proposal degrees of freedom (≥ 1), or `normal`/`mvn` for a multivariate-normal proposal.","ferx-core fit-options"
"imp_seed","","`12345`","RNG seed. Same seed → identical result.","ferx-core fit-options"
"imp_low_ess_threshold","","`0.1`","Subjects with normalized ESS below this fraction get flagged in the result.","ferx-core fit-options"
"imp_iterations","","`200`","MCEM iterations (estimator only).","ferx-core fit-options"
"imp_averaging","","`50`","Terminal iterations averaged into the reported estimate (estimator only).","ferx-core fit-options"
"imp_eval_only","","`false`","`true` ⇒ evaluate `−2 log L` at fixed parameters; must be the terminal chain stage.","ferx-core fit-options"
"agq_eval_only","","","","undocumented"
"impmap_iterations","","`200`","Number of MCEM iterations (parameter updates).","ferx-core fit-options"
"impmap_samples","","`300`","Importance samples K per subject per iteration. Larger K reduces Monte-Carlo noise at linear cost.","ferx-core fit-options"
"impmap_proposal_df","","`4`","Proposal degrees of freedom. A finite value ≥ 1 gives a heavier-tailed Student-t (default `4`); `normal` (or `mvn`) gives a multivariate-normal proposal.","ferx-core fit-options"
"impmap_seed","","`12345`","RNG seed. Same seed → identical estimates.","ferx-core fit-options"
"impmap_averaging","","`50`","Final iterations whose parameters are averaged into the reported estimate (Monte-Carlo variance reduction).","ferx-core fit-options"
"impmap_low_ess_threshold","","`0.1`","Subjects with normalized ESS below this fraction are flagged as poorly sampled.","ferx-core fit-options"
"impmap_trace","","`false`","Logical; when TRUE, collect per-iteration parameter values into fit$impmap_trace.","ferx-core fit-options + ?ferx_fit"
"impmap_mceta","","`0`","Number of additional random starting points for per-subject MAP optimization.","ferx-core fit-options"
"impmap_sobol","","`false`","Use Sobol quasi-random sequences (with Cranley-Patterson randomization) for IS draws instead of pseudo-random.","ferx-core fit-options"
"frem_rao_blackwell","","`true`","FREM only: Rao-Blackwellise the covariate ETAs (integrate them analytically, importance-sample only the PK ETAs).","ferx-core fit-options"
"imp_auto","","`true`","Adaptive sample count. When `true`, `imp_samples` is the *starting* count and is ramped up (×2/iteration, cap 10000) while the objective's Monte-Carlo SE exceeds 1.0.","ferx-core fit-options"
"impmap_auto","","`true`","Adaptive sample count. When `true`, `impmap_samples` is the *starting* count and is ramped up (×2/iteration, cap 10000) while the objective's Monte-Carlo SE exceeds 1.0.","ferx-core fit-options"
"iscale_min","","`0.1`","Minimum proposal scaling factor for adaptive IS. The IS proposal covariance is multiplied by `s²` where `s` is chosen from `[iscale_min, iscale_max]` to maximise per-subject ESS.","ferx-core fit-options"
"iscale_max","","`10.0`","Maximum proposal scaling factor.","ferx-core fit-options"
"imp_defensive_alpha","","`0.0`","Defensive-mixture weight (issue #528), **opt-in**. Each subject draws this fraction of its samples from the prior `N(0, Ω)` rather than the mode-centred proposal, and every sample is scored under the mixture density.","ferx-core fit-options"
"npde_nsim","integer ≥ 0","`0`","Number of Monte-Carlo replicates per subject used to compute the simulation-based NPDE/NPD diagnostics after the fit.","ferx-core fit-options"
"npde_seed","integer","—","RNG seed for the NPDE/NPD simulation, for reproducible diagnostics.","ferx-core fit-options"
"mu_referencing","`true`, `false`","`true`","Re-centre inner-loop ETA estimates on the current population mean (auto-detected from `[individual_parameters]`).","ferx-core fit-options"
"n_starts","","`1`","Number of independent optimization runs. `1` disables multi-start (no behaviour change).","ferx-core fit-options"
"start_sigma","","`0.3`","Log-space perturbation applied to initial theta values for starts 1..n.","ferx-core fit-options"
"multi_start_seed","","`42`","RNG seed for the multi-start theta perturbations. Independent of `seed` (SAEM) so that changing the SAEM seed does not silently alter which perturbed starting points are used in FOCE multi-start runs.","ferx-core fit-options"
"iov_column","string","—","Name of the occasion column in the dataset (e.g. `OCC`). Supplies occasions when the model uses `kappa` or `block_kappa` declarations.","ferx-core fit-options"
"iov_occasion","`column`, `dose`, `time(t₁, …)`","`column`","Derive the IOV occasion partition from the model instead of a data column.","ferx-core fit-options"
"optimizer_trace","`true`, `false`","`false`","Write a per-iteration CSV to `/tmp/ferx_trace_<pid>_<ts>.csv`.","ferx-core fit-options"
"reconverge_gradient_interval","integer ≥ 0","`0`","How often to re-solve each subject's inner EBE loop during the population gradient instead of holding the EBEs (η̂) and FOCE Hessian fixed.","ferx-core fit-options"
"scale_params","","`false`","Legacy boolean alias for `parameter_scaling = abs`. Divide each packed (log/Cholesky) coordinate by its initial magnitude before passing it to the optimizer.","ferx-core fit-options"
"parameter_scaling","`auto`, `none`, `abs`, `rescale2`","`auto`","Parameter-scaling strategy for the outer optimizer (supersedes `scale_params` when non-`none`).","ferx-core fit-options"
"max_unconverged_frac","","`0.1`","Fraction of subjects (with at least `min_obs_for_convergence_check` observations) allowed to have unconverged EBEs before the outer optimizer rejects the step (returns OFV = ∞).","ferx-core fit-options"
"min_obs_for_convergence_check","","`2`","Subjects with fewer than this many observations are excluded from the `max_unconverged_frac` check (they still run normally).","ferx-core fit-options"
"stagnation_guard","","`true`","Short-circuit the NLopt-based outer optimizers once recent evals show no OFV improvement above 1e-3 over a window of `3*(n+1).max(50)` evals.","ferx-core fit-options"
"ebe_warm_start","","`false`","When an inner per-subject EBE solve fails its BFGS step and falls back to Nelder–Mead, warm-start the simplex from the BFGS partial η̂ rather than cold-starting from the prior mode η=0.","ferx-core fit-options"
"report_final_gradient","`true`, `false`","`true`","Compute a finite-difference gradient at the reported estimates when the optimizer supplied none of its own, and report it as `final_gradient` with `final_gradient_source = ""finite_difference""`.","ferx-core fit-options"
"inits_from_nca","`true`, `false`, `nca`, `nca_sweep`, `nca_ebe`","`false`","Derive NCA-based starting values from the data before the optimizer loop.","ferx-core fit-options"
"ignore","","","Character vector of filter expressions that exclude a record when the expression evaluates to true.","?ferx_fit"
"accept","","","Character vector of filter expressions. A record is kept only when all conditions pass; excluded if any fail.","?ferx_fit"
"ignore_subjects","","","","undocumented"
"frem_predictions","","","","undocumented"
"frem_sigma","","","","undocumented"
"checkpoint","`true`, `false`","`true`","Periodically save a resume point so a run that is interrupted (e.g. `Ctrl-C`, a crashed job) can be restarted from where it stopped instead of from scratch.","ferx-core fit-options"
"checkpoint_interval_secs","integer","`300`","Minimum wall-clock seconds between checkpoint writes. Larger values reduce I/O overhead but lose more progress on an interrupt; smaller values save more often.","ferx-core fit-options"
